Kullanım Durumu,Tipi,Binanın Yaşı,Binanın Kat Sayısı,Net Metrekare,Brüt Metrekare,Bulunduğu Kat,Site İçerisinde,Isıtma Tipi,Banyo Sayısı,Oda Sayısı,Balkon Durumu,Aidat,Fiyat,Ilce,Mahalle
Boş,Daire,21 Ve Üzeri,17,84,105,2.Kat,Hayır,Merkezi (Pay Ölçer),1,2+1,Var,500.0,36900.0,Yenimahalle,Cumhuriyet Mahallesi
Boş,Daire,11-15,3,120,130,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,17500.0,Keçiören,Hisar Mahallesi
Boş,Daire,0 (Yeni),3,50,65,Düz Giriş (Zemin),Hayır,Kombi Doğalgaz,1,2+1,Var,500.0,25500.0,Gölbaşı,Taşpınar Mahallesi
Boş,Daire,16-20,12,140,150,5.Kat,Evet,Kombi Doğalgaz,2,3+1,Var,2950.0,47000.0,Çankaya,Yaşamkent Mahallesi
Boş,Daire,2,9,80,90,4.Kat,Hayır,Merkezi (Pay Ölçer),2,2+1,Var,275.0,36000.0,Etimesgut,Şeker Mahallesi
Boş,Daire,21 Ve Üzeri,4,180,190,3.Kat,Hayır,Merkezi Doğalgaz,1,4+1,Var,3500.0,50000.0,Çankaya,Barbaros Mahallesi
Boş,Daire,16-20,4,120,125,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,850.0,25000.0,Çankaya,Keklik Pınarı Mahallesi
Boş,Daire,21 Ve Üzeri,8,15,20,1.Kat,Hayır,Merkezi Doğalgaz,1,Stüdyo,Var,850.0,20000.0,Çankaya,Çamlıtepe Mahallesi
Boş,Daire,21 Ve Üzeri,2,105,115,1.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,18500.0,Keçiören,Şefkat Mahallesi
Boş,Daire,21 Ve Üzeri,6,110,120,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,500.0,22000.0,Yenimahalle,Demetlale Mahallesi
Boş,Daire,2,3,85,90,Düz Giriş (Zemin),Evet,Merkezi Doğalgaz,1,3+1,Var,250.0,19000.0,Sincan,29 Ekim Mahallesi
Boş,Daire,21 Ve Üzeri,5,110,120,4.Kat,Evet,Merkezi Doğalgaz,1,3+1,Var,250.0,25000.0,Sincan,Ertuğrulgazi Mahallesi
